stakeholder_code,stakeholder_group,var,middle,upper ,lower,category,subgroup
a,nature,crop_biogas,12,,,crop,a
a,nature,crop_feed,79,,,crop,a
a,nature,crop_food,9,,,crop,a
a,nature,animal_reduction,20,,,livestock_reduction,a
a,nature,cattle,71,,,livestock_compostion,a
a,nature,pig,18,,,livestock_compostion,a
a,nature,poultry,6,,,livestock_compostion,a
a,nature,other,6,,,livestock_compostion,a
a,nature,manure_export,43,,,manure,a
a,nature,manure_biogas,30,,,manure,a
a,nature,manure_crop,26,,,manure,a
b,nature,crop_biogas,17.5,15,20,crop,a
b,nature,crop_feed,77.5,,,crop,a
b,nature,crop_food,7,5,9,crop,a
b,nature,animal_reduction,50,,,livestock_reduction,a
b,nature,cattle,63,,,livestock_compostion,a
b,nature,pig,28,,,livestock_compostion,a
b,nature,poultry,0,,,livestock_compostion,a
b,nature,other,8,,,livestock_compostion,a
b,nature,manure_export,0,,,manure,a
b,nature,manure_biogas,5,,,manure,a
b,nature,manure_crop,95,,,manure,a
c,waste,crop_biogas,16,,,crop,a
c,waste,crop_feed,78,,,crop,a
c,waste,crop_food,6,,,crop,a
c,waste,animal_reduction,25,,,livestock_reduction,a
c,waste,cattle,63,,,livestock_compostion,a
c,waste,pig,28,,,livestock_compostion,a
c,waste,poultry,4,,,livestock_compostion,a
c,waste,other,4,,,livestock_compostion,a
c,waste,manure_export,30,,,manure,a
c,waste,manure_biogas,40,,,manure,a
c,waste,manure_crop,30,,,manure,a
d,farming,crop_biogas,0,,,crop,a
d,farming,crop_feed,79,,,crop,a
d,farming,crop_food,21,,,crop,a
d,farming,animal_reduction,15,10,20,livestock_reduction,a
d,farming,cattle,63,,,livestock_compostion,a
d,farming,pig,23,,,livestock_compostion,a
d,farming,poultry,6,,,livestock_compostion,a
d,farming,other,5,,,livestock_compostion,a
d,farming,manure_export,10,,,manure,a
d,farming,manure_biogas,20,,,manure,a
d,farming,manure_crop,70,,,manure,a
e,science,crop_biogas,10,,,crop,a
e,science,crop_feed,77.5,75,80,crop,a
e,science,crop_food,15,,,crop,a
e,science,animal_reduction,30,,,livestock_reduction,a
e,science,cattle,57,,,livestock_compostion,a
e,science,pig,20,,,livestock_compostion,a
e,science,poultry,15,,,livestock_compostion,a
e,science,other,8,,,livestock_compostion,a
e,science,manure_export,30,,,manure,a
e,science,manure_biogas,10,,,manure,a
e,science,manure_crop,60,,,manure,a
f,farming,crop_biogas,35,32.5,37.5,crop,a
f,farming,crop_feed,45,40,50,crop,b
f,farming,crop_food,20,17.5,22.5,crop,a
f,farming,animal_reduction,50,,,livestock_reduction,a
f,farming,cattle,61,,,livestock_compostion,a
f,farming,pig,27,,,livestock_compostion,a
f,farming,poultry,4,,,livestock_compostion,a
f,farming,other,8,,,livestock_compostion,a
f,farming,manure_export,20,,,manure,a
f,farming,manure_biogas,80,,,manure,a
f,farming,manure_crop,0,,,manure,a
g,science,crop_biogas,19,14,24,crop,a
g,science,crop_feed,14,9,19,crop,b
g,science,crop_food,62,57,67,crop,b
g,science,animal_reduction,33,,,livestock_reduction,a
g,science,cattle,71,,,livestock_compostion,a
g,science,pig,16,,,livestock_compostion,a
g,science,poultry,6,,,livestock_compostion,a
g,science,other,6,,,livestock_compostion,a
g,science,manure_export,15,,,manure,a
g,science,manure_biogas,10,,,manure,a
g,science,manure_crop,75,,,manure,a
h,waste,crop_biogas,24,,,crop,a
h,waste,crop_feed,38,,,crop,b
h,waste,crop_food,38,,,crop,b
h,waste,animal_reduction,55,,,livestock_reduction,a
h,waste,cattle,63,,,livestock_compostion,a
h,waste,pig,20,,,livestock_compostion,a
h,waste,poultry,8,,,livestock_compostion,a
h,waste,other,8,,,livestock_compostion,a
h,waste,manure_export,0,,,manure,a
h,waste,manure_biogas,19,,,manure,a
h,waste,manure_crop,81,,,manure,a
g,food processing,crop_biogas,24,,,crop,a
g,food processing,crop_feed,57.5,55,60,crop,b
g,food processing,crop_food,18.5,16,21,crop,a
g,food processing,animal_reduction,3,,,livestock_reduction,a
g,food processing,cattle,65,,,livestock_compostion,a
g,food processing,pig,26,,,livestock_compostion,a
g,food processing,poultry,5,,,livestock_compostion,a
g,food processing,other,4,,,livestock_compostion,a
g,food processing,manure_export,52,,,manure,a
g,food processing,manure_biogas,11,,,manure,a
g,food processing,manure_crop,37,,,manure,a
